,order,family,genus,species.epithet,stem.length.m,VD.base.um,VD.tip.um,min.length.leaf,max.length.leaf,min.length.petiole,max.length.petiole,min.length.blade,max.length.blade,leaf.type,length.leaf.cm,species,long.hoja,long.hoja.mean,long.lam.pet.mean,Nota
495,Rosales,Rosaceae,Prunus,avium,8.9,47.65,12.67,NA,NA,2,4,7,14,simple,NA,Prunus_avium,NA,NA,13.5,
496,Rosales,Rosaceae,Prunus,fasciculata,1.97,21.41,10.27,0.5,2,NA,NA,NA,NA,simple,NA,Prunus_fasciculata,NA,1.25,NA,
497,Rosales,Rosaceae,Prunus,serotina,28.93,60.83,10.9,NA,NA,0.4,2.2,2.5,9,simple,NA,Prunus_serotina,NA,NA,7.05,
498,Rosales,Rosaceae,Rosa,californica,2.03,26.31,9.81,4,14,1.3,3.04,NA,NA,compound,NA,Rosa_californica,NA,9,NA,
499,Rosales,Rosaceae,Rosa,canina,1.92,31.06,14.23,6,11,1.51,2.78,NA,NA,compound,NA,Rosa_canina,NA,8.5,NA,
500,Rosales,Rosaceae,Rosa,glauca,1.98,28.77,18.16,6,10.5,NA,NA,NA,NA,compound,NA,Rosa_glauca,NA,8.25,NA,
501,Rosales,Rosaceae,Rosa,pendulina,0.5,23.48,10.78,5.08,15.24,2,5.3,3.4,11.5,compound,NA,Rosa_pendulina,NA,10.16,11.1,
502,Rosales,Rosaceae,Rubus,fruticosus,3.75,55.07,19.93,6.7,12.8,1.6,4.8,2.2,6.2,compound,NA,Rubus_fruticosus,NA,9.75,7.4,
503,Rosales,Rosaceae,Rubus,idaeus,0.7,35.23,13.77,7,12.6,3,6,5.7,10.6,compound,NA,Rubus_idaeus,NA,9.8,12.65,
504,Rosales,Rosaceae,Sorbus,aria,7.5,40.9,7.76,5.08,20.32,1.27,2.54,6.5,7.2,simple,NA,Sorbus_aria,NA,12.7,8.755,
505,Rosales,Rosaceae,Sorbus,aucuparia,4.1,32.57,11.98,12.7,22.86,2.3,2.6,9.7,12.6,compound,NA,Sorbus_aucuparia,NA,17.78,13.6,
506,Rosales,Rosaceae,Sorbus,chamaemespilus,4.07,39.49,10.68,3.175,9,0.2,0.6,NA,NA,simple,NA,Sorbus_chamaemespilus,NA,6.0875,NA,
507,Rosales,Rosaceae,Spiraea,tomentosa,1.12,16.54,10.21,NA,NA,0.2,0.3,3,6,simple,NA,Spiraea_tomentosa,NA,NA,4.75,
508,Rosales,Ulmaceae,Celtis,iguanaea,22.26,138.22,28.19,3,13,0.5,1,NA,NA,simple,NA,Celtis_iguanaea,NA,8,NA,
509,Rosales,Ulmaceae,Ulmus,glabra,16.5,75.91,14.43,NA,NA,0.2,0.7,7,14,simple,NA,Ulmus_glabra,NA,NA,10.95,
510,Rosales,Ulmaceae,Ulmus,mexicana,27.5,95,17.36,4,16,0.4,1,NA,NA,simple,NA,Ulmus_mexicana,NA,10,NA,
511,Rosales,Urticaceae,Cecropia,obtusifolia,22.4,189.15,45.58,NA,NA,20,80,30,90,simple,NA,Cecropia_obtusifolia,NA,NA,110,
512,Rosales,Urticaceae,Dendrocnide,excelsa,22,198.72,44.81,15,40,5,15,NA,NA,simple,NA,Dendrocnide_excelsa,NA,27.5,NA,
513,Rosales,Urticaceae,Myriocarpa,longipes,7.42,83.94,41.79,22,78.2,4,18.5,NA,NA,simple,NA,Myriocarpa_longipes,NA,50.1,NA,
514,Rosales,Zygophyllaceae,Krameria,lappacea,0.6,26.89,12.47,0.6,1.5,NA,NA,0.6,1.5,simple,NA,Krameria_lappacea,NA,1.05,NA,
515,Sabiales,Sabiaceae,Meliosma,dentata,7.8,78.45,21.01,4,19,0.3,1.4,NA,NA,simple,NA,Meliosma_dentata,NA,11.5,NA,
516,Sabiales,Sabiaceae,Meliosma,occidentalis,26.67,121,37.58,6,26,1,3.5,NA,NA,simple,NA,Meliosma_occidentalis,NA,16,NA,
517,Santalales,Loranthaceae,Amyema,pendula,1.02,30.34,16.18,10,44,1,4,NA,NA,simple,NA,Amyema_pendula,NA,27,NA,
518,Santalales,Loranthaceae,Atkinsonia,ligustrina,1.57,50.67,15.71,2,5,0,0.2,NA,NA,simple,NA,Atkinsonia_ligustrina,NA,3.5,NA,
519,Santalales,Loranthaceae,Nuytsia,floribunda,7.53,87.54,16.17,2.5,10,NA,NA,NA,NA,simple,NA,Nuytsia_floribunda,NA,6.25,NA,
520,Santalales,Olacaceae,Ximenia,americana,5.09,56.58,14.26,3,11,0.5,0.7,NA,NA,simple,NA,Ximenia_americana,NA,7,NA,
521,Santalales,Opiliaceae,Agonandra,racemosa,2.74,53.19,29.9,NA,NA,0.4,0.9,4,7.5,simple,NA,Agonandra_racemosa,NA,NA,6.4,
522,Santalales,Santalaceae,Exocarpos,neocaledonicus,1.62,34.48,14.52,3.4,5,NA,NA,3.4,5,simple,NA,Exocarpos_neocaledonicus,NA,4.2,NA,
523,Santalales,Santalaceae,Myoschilos,oblongum,0.74,23.65,9.67,1,3,0.03,0.1,1,1.7,simple,NA,Myoschilos_oblongum,NA,2,1.415,
524,Santalales,Santalaceae,Phoradendron,villosum,0.68,26,13.82,NA,NA,NA,NA,1.3,4.5,simple,2.9,Phoradendron_villosum,2.9,NA,NA,Sésil
525,Sapindales,Anacardiaceae,Cyrtocarpa,edulis,5.18,83.45,15.84,6.8,9.9,1.3,3.3,4.1,7.7,compound,NA,Cyrtocarpa_edulis,NA,8.35,8.2,
526,Sapindales,Anacardiaceae,Lithraea,molleoides,5.44,52.99,12.18,8,14,1.5,3.5,NA,NA,compound,11,Lithraea_molleoides,11,11,NA,
527,Sapindales,Anacardiaceae,Malosma,laurina,6.73,59.15,17.39,7,10,1,3,NA,NA,simple,NA,Malosma_laurina,NA,8.5,NA,
528,Sapindales,Anacardiaceae,Myracrodruon,urundeuva,8.93,93.93,13.45,10,30,2,6,8,24,compound,NA,Myracrodruon_urundeuva,NA,20,20,
529,Sapindales,Anacardiaceae,Rhus,ovata,1.96,43.27,12.04,5.08,7.62,0.84668,1.69336,NA,NA,simple,NA,Rhus_ovata,NA,6.35,NA,
530,Sapindales,Anacardiaceae,Schinopsis,brasiliensis,12.07,86.22,14.75,5,15,1,3,2,14,compound,NA,Schinopsis_brasiliensis,NA,10,10,
