"","order","family","genus","species.epithet","stem.length.m","VD.base.um","VD.tip.um","min.length.leaf","max.length.leaf","min.length.petiole","max.length.petiole","min.length.blade","max.length.blade","min.width.blade","max.width.blade","leaf.type","length.leaf.cm","width.leaf.cm","species","long.hoja","long.hoja.mean","long.lam.pet.mean"
"310","Icacinales","Oncothecaceae","Oncotheca","humboldtiana",7.72,64.79,15.14,9,18,NA,NA,NA,NA,3.5,7,"simple",NA,NA,"Oncotheca_humboldtiana",7,13.5,NA
"311","Lamiales","Acanthaceae","Ruellia","californica",0.82,21.64,6.69,1,8.2,NA,NA,NA,NA,1,2.9,"simple",NA,NA,"Ruellia_californica",2.9,4.6,NA
"312","Lamiales","Bignoniaceae","Amphilophium","crucigerum",24,83.77,39.11,11.89,17.21,NA,NA,NA,NA,9.1,18.88,"compound",NA,NA,"Amphilophium_crucigerum",18.88,14.55,NA
"313","Lamiales","Bignoniaceae","Callichlamys","latifolia",37.75,155.03,43.49,16.52,26.31,NA,NA,NA,NA,14.05,23.47,"compound",NA,NA,"Callichlamys_latifolia",23.47,21.415,NA
"314","Lamiales","Bignoniaceae","Chilopsis","linearis",4.93,109.47,24.5,5.5,9,NA,NA,NA,NA,0.4,0.7,"simple",NA,NA,"Chilopsis_linearis",0.7,7.25,NA
"315","Lamiales","Bignoniaceae","Fridericia","patellifera",11.2,91.36,26.64,4.7,14.5,NA,NA,NA,NA,2.9,10.5,"compound",NA,NA,"Fridericia_patellifera",10.5,9.6,NA
"316","Lamiales","Bignoniaceae","Fridericia","schumanniana",32.72,166.84,35.66,14.43,21,NA,NA,NA,NA,4.12,11.5,"compound",NA,NA,"Fridericia_schumanniana",11.5,17.715,NA
"317","Lamiales","Bignoniaceae","Handroanthus","impetiginosus",12.63,76.04,19.38,20.82,41.15,NA,NA,NA,NA,14.66,36.5,"compound",NA,NA,"Handroanthus_impetiginosus",36.5,30.985,NA
"318","Lamiales","Bignoniaceae","Mansoa","verrucifera",38.7,115.6,29.05,20.79,27.32,NA,NA,NA,NA,11.62,24.71,"compound",NA,NA,"Mansoa_verrucifera",24.71,24.055,NA
"319","Lamiales","Bignoniaceae","Pandorea","pandorana",9.08,80.67,21.56,8,16,NA,NA,NA,NA,4.54,12,"compound",NA,NA,"Pandorea_pandorana",12,12,NA
"320","Lamiales","Bignoniaceae","Paragonia","pyramidata",32.17,236.81,39.31,11.23,20.68,NA,NA,NA,NA,8.28,13.88,"compound",NA,NA,"Paragonia_pyramidata",13.88,15.955,NA
"321","Lamiales","Bignoniaceae","Pyrostegia","venusta",7.85,76.57,16.7,4,10,NA,NA,NA,NA,6.65,11,"compound",NA,NA,"Pyrostegia_venusta",11,7,NA
"322","Lamiales","Bignoniaceae","Stizophyllum","riparium",30.2,84.24,25.23,2.9,20,NA,NA,NA,NA,1.9,12.5,"compound",NA,NA,"Stizophyllum_riparium",12.5,11.45,NA
"323","Lamiales","Bignoniaceae","Tabebuia","ochracea",4.48,69.03,16.1,5.5,25,NA,NA,NA,NA,2.3,9,"compound",NA,NA,"Tabebuia_ochracea",9,15.25,NA
"324","Lamiales","Bignoniaceae","Zeyheria","montana",2.06,42.5,20.59,10.2,27.7,NA,NA,NA,NA,8.7,18.6,"compound",NA,NA,"Zeyheria_montana",18.6,18.95,NA
"325","Lamiales","Gesneriaceae","Coronanthera","sericea",6.31,77.13,18.91,NA,NA,NA,NA,NA,NA,NA,NA,"simple",9,4,"Coronanthera_sericea",NA,NA,NA
"326","Lamiales","Gesneriaceae","Moussonia","deppeana",2.08,41,17.94,6.45,17.66,0.35,1.77,6.1,14.34,2.4,5.01,"simple",NA,NA,"Moussonia_deppeana",5.01,12.055,11.28
"328","Lamiales","Lamiaceae","Monardella","linoides",0.14,23.28,11.67,1.19,2.35,NA,NA,NA,NA,0.3,0.54,"simple",NA,NA,"Monardella_linoides",0.54,1.77,NA
"329","Lamiales","Lamiaceae","Salvia","leucophylla",1.79,30.76,15.71,3.02,12.53,NA,NA,NA,NA,0.8,2.2,"simple",NA,NA,"Salvia_leucophylla",2.2,7.775,NA
"330","Lamiales","Lamiaceae","Salvia","mellifera",2.12,28.36,14.23,2.5,7,NA,NA,NA,NA,0.82,1.56,"simple",NA,NA,"Salvia_mellifera",1.56,4.75,NA
"331","Lamiales","Lamiaceae","Salvia","pachyphylla",0.5,22.95,14.03,1.58,5,NA,NA,NA,NA,0.36,1.73,"simple",NA,NA,"Salvia_pachyphylla",1.73,3.29,NA
"332","Lamiales","Lamiaceae","Scutellaria","mexicana",0.92,22.34,14.5,0.3,1.5,NA,NA,NA,NA,0.2,0.8,"simple",NA,NA,"Scutellaria_mexicana",0.8,0.9,NA
"333","Lamiales","Oleaceae","Fraxinus","americana",24.5,114.64,22.72,20.32,38.1,NA,NA,NA,NA,9.14,16.2,"compound",NA,NA,"Fraxinus_americana",16.2,29.21,NA
"334","Lamiales","Oleaceae","Fraxinus","dipetala",5.1,44.82,12.6,5.08,16.33,NA,NA,NA,NA,3.7,7.77,"compound",NA,NA,"Fraxinus_dipetala",7.77,10.705,NA
"335","Lamiales","Oleaceae","Fraxinus","excelsior",7.68,77.42,17.09,25.4,30.48,NA,NA,NA,NA,5.07,16.88,"compound",NA,NA,"Fraxinus_excelsior",16.88,27.94,NA
"336","Lamiales","Oleaceae","Osmanthus","austrocaledonicus",6.24,66.32,13.12,5.54,7.7,0.83,0.96,4.61,6.8,1.91,3.61,"simple",NA,NA,"Osmanthus_austrocaledonicus",3.61,6.62,6.6
"337","Lamiales","Orobanchaceae","Cordylanthus","rigidus",1.27,24.16,13.74,1.24,2.27,NA,NA,NA,NA,0.1,0.16,"simple",NA,NA,"Cordylanthus_rigidus",0.16,1.755,NA
"338","Lamiales","Plantaginaceae","Angelonia","pubescens",2.61,28.13,12.32,NA,NA,0.47,0.82,3.07,5.63,1.98,3.35,"simple",NA,NA,"Angelonia_pubescens",3.35,NA,4.995
"339","Lamiales","Plantaginaceae","Keckiella","cordifolia",3.56,32.24,11.58,2.31,4.59,0.12,0.49,2.19,4.1,1.21,2.28,"simple",NA,NA,"Keckiella_cordifolia",2.28,3.45,3.45
"340","Lamiales","Plantaginaceae","Keckiella","ternata",0.89,21.32,11.47,1.5,6,NA,NA,NA,NA,0.33,0.43,"simple",NA,NA,"Keckiella_ternata",0.43,3.75,NA
"341","Lamiales","Plantaginaceae","Penstemon","centranthifolius",0.43,23.58,10.15,4.8,6.55,NA,NA,NA,NA,1.2,1.9,"simple",NA,NA,"Penstemon_centranthifolius",1.9,5.675,NA
"342","Lamiales","Scrophulariaceae","Buddleja","stachyoides",1.44,23.38,12.07,5,25,NA,NA,NA,NA,1.8,9,"simple",NA,NA,"Buddleja_stachyoides",9,15,NA
"343","Lamiales","Verbenaceae","Lantana","camara",9.51,95.52,27.43,NA,NA,0.5,1.4,2.8,11,1.5,7,"simple",NA,NA,"Lantana_camara",7,NA,7.85
"345","Lamiales","Verbenaceae","Lippia","balansae",3.43,44.79,14.7,2,4.77,0.17,0.5,1.84,4.27,0.89,1.6,"simple",NA,NA,"Lippia_balansae",1.6,3.385,3.39
"346","Lamiales","Verbenaceae","Lippia","gracilis",3.53,30.89,11.39,2.14,5.05,0.41,0.92,1.67,4.41,0.88,2.03,"simple",NA,NA,"Lippia_gracilis",2.03,3.595,3.705
"347","Laurales","Atherospermataceae","Atherosperma","moschatum",19.23,44.73,13.73,3,10,NA,NA,NA,NA,0.8,2.5,"simple",NA,NA,"Atherosperma_moschatum",2.5,6.5,NA
"348","Laurales","Atherospermataceae","Doryphora","sassafras",20.03,62.84,16.68,3,10,NA,NA,NA,NA,2,4,"simple",NA,NA,"Doryphora_sassafras",4,6.5,NA
"349","Laurales","Atherospermataceae","Nemuaron","vieillardii",9.18,51.44,13.33,NA,NA,0.4,1,2.5,6.5,1.3,3.5,"simple",NA,NA,"Nemuaron_vieillardii",3.5,NA,5.2
"350","Laurales","Calycanthaceae","Idiospermum","australiense",24,156.75,24.16,NA,NA,1.2,2.5,8,20,3,10,"simple",NA,NA,"Idiospermum_australiense",10,NA,15.85
"351","Laurales","Hernandiaceae","Gyrocarpus","jatrophifolius",7.7,156.92,30.77,NA,NA,1,42.5,5,45,5,45,"simple",NA,NA,"Gyrocarpus_jatrophifolius",45,NA,46.75
"352","Laurales","Hernandiaceae","Hernandia","albiflora",7.95,76.44,21.44,NA,NA,NA,1,11,16,3,5.5,"simple",NA,NA,"Hernandia_albiflora",5.5,NA,NA
"353","Laurales","Hernandiaceae","Hernandia","cordigera",8.5,89.89,24.58,NA,NA,3,10,8,17,4,10,"simple",NA,NA,"Hernandia_cordigera",10,NA,19
"354","Laurales","Hernandiaceae","Sparattanthelium","amazonum",11.76,137.28,31.35,NA,NA,1,8,2,13,1,8,"simple",NA,NA,"Sparattanthelium_amazonum",8,NA,12
"355","Laurales","Lauraceae","Beilschmiedia","oreophila",4.23,50.46,10.11,NA,NA,1.36,2.01,14.46,18.18,7.38,12.19,"simple",NA,NA,"Beilschmiedia_oreophila",12.19,NA,18.005
"356","Laurales","Lauraceae","Cryptocarya","aristata",9.75,71.07,14.96,NA,NA,5,10,6.5,8,2.5,4,"simple",NA,NA,"Cryptocarya_aristata",4,NA,14.75
"357","Laurales","Lauraceae","Cryptocarya","aurea",3.75,63.7,17.36,NA,NA,0.94,1.33,8.69,10.23,2.66,4.23,"simple",NA,NA,"Cryptocarya_aurea",4.23,NA,10.595
"358","Laurales","Lauraceae","Cryptocarya","elliptica",5.39,53.88,13.25,NA,NA,0.6,2,3.5,11,2,5,"simple",NA,NA,"Cryptocarya_elliptica",5,NA,8.55
"359","Laurales","Lauraceae","Cryptocarya","gracilis",4.35,69.92,16.43,NA,NA,0.3,0.5,3,6,1.5,4,"simple",NA,NA,"Cryptocarya_gracilis",4,NA,4.9
"360","Laurales","Lauraceae","Cryptocarya","longifolia",3.5,56.71,15.71,NA,NA,0.6,1,6,13,2,5.5,"simple",NA,NA,"Cryptocarya_longifolia",5.5,NA,10.3
"361","Laurales","Lauraceae","Cryptocarya","macrodesme",5.68,75.35,25.75,NA,NA,2,5,11,30,6,9.5,"simple",NA,NA,"Cryptocarya_macrodesme",9.5,NA,24
"362","Laurales","Lauraceae","Cryptocarya","odorata",3.9,86.4,21.16,NA,NA,1,2,6,16,3,10,"simple",NA,NA,"Cryptocarya_odorata",10,NA,12.5
"363","Laurales","Lauraceae","Cryptocarya","oubatchensis",5.89,73.8,20.38,NA,NA,0.8,1.5,5,12,2.5,3.5,"simple",NA,NA,"Cryptocarya_oubatchensis",3.5,NA,9.65
"364","Laurales","Lauraceae","Cryptocarya","pluricostata",3.65,54.46,11.65,NA,NA,1.5,2,5,12,2.5,6,"simple",NA,NA,"Cryptocarya_pluricostata",6,NA,10.25
"365","Laurales","Lauraceae","Cryptocarya","velutinosa",7.3,70.07,17.5,NA,NA,0.91,1.42,11.69,16.29,5.25,8.98,"simple",NA,NA,"Cryptocarya_velutinosa",8.98,NA,15.155
"366","Laurales","Lauraceae","Endiandra","baillonii",4.42,69.59,18.12,NA,NA,1.5,3,5,7.5,2,3,"simple",NA,NA,"Endiandra_baillonii",3,NA,8.5
"367","Laurales","Lauraceae","Licaria","nayaritensis",3.98,51.77,22.72,NA,NA,0.4,0.9,6.5,12,2.2,4,"simple",NA,NA,"Licaria_nayaritensis",4,NA,9.9
"368","Laurales","Lauraceae","Lindera","benzoin",2.91,34.56,16.24,NA,NA,0.5,1.2,6,15,2,6,"simple",NA,NA,"Lindera_benzoin",6,NA,11.35
"369","Laurales","Lauraceae","Nectandra","ambigens",18,133.07,38.15,NA,NA,2,2.8,9.5,26,3.5,10,"simple",NA,NA,"Nectandra_ambigens",10,NA,20.15
"370","Laurales","Lauraceae","Ocotea","corymbosa",4.63,64.86,13.27,NA,NA,0.8,2,5,10,1.5,4,"simple",NA,NA,"Ocotea_corymbosa",4,NA,8.9
"371","Laurales","Lauraceae","Sassafras","albidum",5,68.51,17.74,NA,NA,NA,2.54,10,16,5,10,"simple",NA,NA,"Sassafras_albidum",10,NA,NA
"372","Laurales","Monimiaceae","Hedycarya","cupulata",5.53,62.31,18.84,NA,NA,6,1.5,5,13,2.5,4.5,"simple",NA,NA,"Hedycarya_cupulata",4.5,NA,12.75
"373","Laurales","Monimiaceae","Hedycarya","engleriana",5.74,72.33,20.84,NA,NA,0.4,0.7,5,10,2,4.5,"simple",NA,NA,"Hedycarya_engleriana",4.5,NA,8.05
"374","Laurales","Monimiaceae","Hedycarya","parvifolia",7.83,63.39,12.37,NA,NA,0.4,1.5,3,11,1,5,"simple",NA,NA,"Hedycarya_parvifolia",5,NA,7.95
"375","Laurales","Monimiaceae","Kibaropsis","caledonica",6.28,37.89,23.73,NA,NA,NA,NA,20,25,5,8,"simple",NA,NA,"Kibaropsis_caledonica",8,NA,NA
"376","Laurales","Monimiaceae","Palmeria","scandens",6.67,60.47,28.7,NA,NA,0.4,1.4,4.5,19,2,9,"simple",NA,NA,"Palmeria_scandens",9,NA,12.65
"377","Laurales","Monimiaceae","Wilkiea","hugeliana",2.64,45.1,11.18,NA,NA,0.6,1,6,15,1,5,"simple",NA,NA,"Wilkiea_hugeliana",5,NA,11.3
"378","Laurales","Siparunaceae","Siparuna","gesnerioides",9.3,63.68,19.98,NA,NA,1,5,10,28,4,10,"simple",NA,NA,"Siparuna_gesnerioides",10,NA,22
"379","Laurales","Siparunaceae","Siparuna","thecaphora",4.77,51.83,25.71,NA,NA,0.7,3,9,30,5,8,"simple",NA,NA,"Siparuna_thecaphora",8,NA,21.35
"380","Liliales","Smilacaceae","Smilax","leucophylla",6.18,74.23,38.26,NA,NA,4,5,10,32,4,22,"simple",NA,NA,"Smilax_leucophylla",22,NA,25.5
"381","Liliales","Smilacaceae","Smilax","polyantha",3.94,69.69,29.9,NA,NA,0.35,1.04,3.08,7.57,2.54,3.73,"simple",NA,NA,"Smilax_polyantha",3.73,NA,6.02
"382","Magnoliales","Annonaceae","Annona","coriacea",2.71,94.09,17.89,NA,NA,NA,0.5,10,13.5,6.5,9.5,"simple",NA,NA,"Annona_coriacea",9.5,NA,NA
"384","Magnoliales","Annonaceae","Annona","leptopetala",4.43,33.82,12.66,NA,NA,0.6,0.8,8,10,2.8,3.5,"simple",NA,NA,"Annona_leptopetala",3.5,NA,9.7
"385","Magnoliales","Annonaceae","Cymbopetalum","baillonii",11.93,87.72,30.05,NA,NA,0.3,0.7,3.1,25.5,2.3,8.1,"simple",NA,NA,"Cymbopetalum_baillonii",8.1,NA,14.8
"386","Magnoliales","Annonaceae","Hubera","nitidissima",8.6,52.58,16.21,NA,NA,0.09,0.58,5.2,10.88,1.91,3.39,"simple",NA,NA,"Hubera_nitidissima",3.39,NA,8.375
"387","Magnoliales","Annonaceae","Meiogyne","tiebaghiensis",5.1,47.88,20.13,NA,NA,0.1,0.11,2.5,23,1.7,5,"simple",NA,NA,"Meiogyne_tiebaghiensis",5,NA,12.855
"388","Magnoliales","Eupomatiaceae","Eupomatia","barbata",0.49,20.17,15.32,NA,NA,0.25,0.6,6,22,1.5,5.5,"simple",NA,NA,"Eupomatia_barbata",5.5,NA,14.425
"389","Magnoliales","Eupomatiaceae","Eupomatia","laurina",10.63,67.51,14.65,NA,NA,NA,0.3,7,20,2.5,7.5,"simple",NA,NA,"Eupomatia_laurina",7.5,NA,NA
"390","Magnoliales","Himantandraceae","Galbulimima","baccata",8.31,75.78,25.07,NA,NA,0.8,2,7,11.5,2,4,"simple",NA,NA,"Galbulimima_baccata",4,NA,10.65
"391","Magnoliales","Magnoliaceae","Liriodendron","tulipifera",30.15,74.25,16.5,NA,NA,5,11.5,7.5,15,12.5,18.5,"simple",NA,NA,"Liriodendron_tulipifera",18.5,NA,19.5
"392","Magnoliales","Myristicaceae","Virola","guatemalensis",6.78,70.6,28.18,NA,NA,0.5,1.4,13,25,4,8,"simple",NA,NA,"Virola_guatemalensis",8,NA,19.95
"393","Malpighiales","Achariaceae","Ryparosa","kurrangii",14.83,76.14,24.07,NA,NA,2.5,4,15,32,4,8,"simple",NA,NA,"Ryparosa_kurrangii",8,NA,26.75
"394","Malpighiales","Balanopaceae","Balanops","pancheri",3.52,32.74,20.93,NA,NA,0.6,0.8,12,18,2.5,4,"simple",NA,NA,"Balanops_pancheri",4,NA,15.7
"395","Malpighiales","Calophyllaceae","Kielmeyera","grandiflora",2.52,66.02,32.55,8.4,12.3,0.5,1.1,8.4,12.3,3.1,7,"simple",NA,NA,"Kielmeyera_grandiflora",7,10.35,11.15
"396","Malpighiales","Chrysobalanaceae","Couepia","grandiflora",2.64,114.31,15.5,NA,NA,0.3,1.3,7.5,18,3.5,9,"simple",NA,NA,"Couepia_grandiflora",9,NA,13.55
"398","Malpighiales","Clusiaceae","Garcinia","intermedia",12.5,83.9,28.32,NA,NA,1.5,2.5,12,24,4.8,9.7,"simple",NA,NA,"Garcinia_intermedia",9.7,NA,20
"399","Malpighiales","Clusiaceae","Montrouziera","sphaeroidea",2.21,89.25,13.75,7.5,10.1,0.7,1.8,6.2,8.3,1.4,2.7,"simple",NA,NA,"Montrouziera_sphaeroidea",2.7,8.8,8.5
"400","Malpighiales","Erythroxylaceae","Erythroxylum","revolutum",4.87,37.98,8.28,NA,NA,0.2,0.62,1.6,6,1,3.5,"simple",NA,NA,"Erythroxylum_revolutum",3.5,NA,4.21
"401","Malpighiales","Euphorbiaceae","Adelia","brandegeei",3.52,36.58,14.67,NA,NA,0,0.2,2,3,0.5,1,"simple",NA,NA,"Adelia_brandegeei",1,NA,2.6
"402","Malpighiales","Euphorbiaceae","Cnidoscolus","urens",1.34,65.24,32.8,NA,NA,3,5,3,5,12,13,"simple",NA,NA,"Cnidoscolus_urens",13,NA,8
"403","Malpighiales","Euphorbiaceae","Croton","blanchetianus",4.96,46.01,9.76,NA,NA,0.7,1.5,5,6,4,5,"simple",NA,NA,"Croton_blanchetianus",5,NA,6.6
"404","Malpighiales","Euphorbiaceae","Croton","californicus",0.67,30.44,10.87,NA,NA,1,3.5,2.5,5,0.8,2,"simple",NA,NA,"Croton_californicus",2,NA,6
"405","Malpighiales","Euphorbiaceae","Croton","echioideus",3.9,24.83,12.87,NA,NA,3.3,6.5,8.5,12,4,6,"simple",NA,NA,"Croton_echioideus",6,NA,15.15
"406","Malpighiales","Euphorbiaceae","Euphorbia","californica",1.84,55.76,17.84,0.8,3,0.6,1,0.6,2,1,1.4,"simple",NA,NA,"Euphorbia_californica",1.4,1.9,2.1
"407","Malpighiales","Euphorbiaceae","Euphorbia","lomelii",1.53,31.68,10.95,NA,NA,0.1,0.3,0.3,1,0.15,0.4,"simple",NA,NA,"Euphorbia_lomelii",0.4,NA,0.85
"408","Malpighiales","Euphorbiaceae","Homalanthus","populifolius",8.5,95.43,34.75,NA,NA,3,9.5,6.5,11.5,5.5,7.5,"simple",NA,NA,"Homalanthus_populifolius",7.5,NA,15.25
"409","Malpighiales","Euphorbiaceae","Jatropha","cinerea",4.37,80.62,14.24,3,6.5,2,6,2,4,3,6.5,"simple",NA,NA,"Jatropha_cinerea",6.5,4.75,7
"410","Malpighiales","Euphorbiaceae","Jatropha","cuneata",1.27,60,11.45,NA,NA,0,0.2,0.7,1.9,0.3,0.9,"simple",NA,NA,"Jatropha_cuneata",0.9,NA,1.4
"411","Malpighiales","Euphorbiaceae","Jatropha","mollissima",1.75,37.38,23.3,NA,NA,5,21.5,7,18.5,6,11,"simple",NA,NA,"Jatropha_mollissima",11,NA,26
"412","Malpighiales","Euphorbiaceae","Manihot","dichotoma",6.03,123.73,32.47,NA,NA,5,15,5,10,6.6,12,"simple",NA,NA,"Manihot_dichotoma",12,NA,17.5
"413","Malpighiales","Euphorbiaceae","Sapium","glandulosum",6.74,109.6,19.77,NA,NA,0.5,2,10,16,NA,2,"simple",NA,NA,"Sapium_glandulosum",2,NA,14.25
"414","Malpighiales","Euphorbiaceae","Stillingia","trapezoidea",3.82,77.62,12.91,NA,NA,0.5,1,1.9,6.5,1.1,2.5,"simple",NA,NA,"Stillingia_trapezoidea",2.5,NA,4.95
"415","Malpighiales","Hypericaceae","Hypericum","aciculare",0.69,12.67,5.85,NA,NA,NA,NA,0.35,0.7,0.04,0.06,"simple",NA,NA,"Hypericum_aciculare",0.06,NA,NA
"416","Malpighiales","Hypericaceae","Hypericum","androsaemum",0.81,23.57,12.65,NA,NA,NA,NA,3.5,10,2.5,5,"simple",NA,NA,"Hypericum_androsaemum",5,NA,NA
"417","Malpighiales","Malpighiaceae","Byrsonima","coccolobifolia",1.79,50.75,16.01,NA,NA,0.5,1.5,7.5,15,7,11,"simple",NA,NA,"Byrsonima_coccolobifolia",11,NA,12.25
"418","Malpighiales","Malpighiaceae","Byrsonima","intermedia",1.24,39.65,11.88,6.78,11.36,NA,NA,7,14,3.47,4.12,"simple",NA,NA,"Byrsonima_intermedia",4.12,9.07,NA
"419","Malpighiales","Ochnaceae","Ouratea","spectabilis",1.86,61.75,15.95,NA,NA,0.1,0.2,7.5,10,4,6,"simple",NA,NA,"Ouratea_spectabilis",6,NA,8.9
"420","Malpighiales","Passifloraceae","Passiflora","edulis",6.93,99.59,21.93,NA,NA,3,9.5,6.5,11.5,5.5,7.5,"simple",NA,NA,"Passiflora_edulis",7.5,NA,15.25
"421","Malpighiales","Passifloraceae","Passiflora","filipes",2.36,51.83,16.87,NA,NA,1.5,2.5,1,3,1.5,6,"simple",NA,NA,"Passiflora_filipes",6,NA,4
"422","Malpighiales","Phyllanthaceae","Breynia","cernua",1.04,32.77,19.24,NA,NA,1.7,3.5,2.5,4,1.5,2.3,"simple",NA,NA,"Breynia_cernua",2.3,NA,5.85
"423","Malpighiales","Phyllanthaceae","Phyllanthus","aeneus",1.49,39.85,14.85,NA,NA,0.4,0.8,NA,7,NA,4,"simple",NA,NA,"Phyllanthus_aeneus",4,NA,NA
"424","Malpighiales","Picrodendraceae","Austrobuxus","eugeniifolius",1.65,60.15,39.15,4.03,6.29,0.32,0.63,3.71,5.66,1.88,3.09,"simple",NA,NA,"Austrobuxus_eugeniifolius",3.09,5.16,5.16
"425","Malpighiales","Picrodendraceae","Petalostigma","quadriloculare",0.14,20.09,9.35,NA,NA,0.4,0.8,2.2,7,1,5,"simple",NA,NA,"Petalostigma_quadriloculare",5,NA,5.2
"426","Malpighiales","Rhizophoraceae","Rhizophora","mangle",10.53,79.57,10.99,NA,NA,1.5,2,6,12,2.2,6,"simple",NA,NA,"Rhizophora_mangle",6,NA,10.75
"427","Malpighiales","Salicaceae","Populus","tremula",6,49.17,13.22,7,13,4,6,3,7,3,8,"simple",NA,NA,"Populus_tremula",8,10,10
"428","Malpighiales","Salicaceae","Populus","tremuloides",11.22,45.94,11.88,4,13,1,6,3,7,3,7,"simple",NA,NA,"Populus_tremuloides",7,8.5,8.5
"429","Malpighiales","Salicaceae","Salix","caprea",7.73,50.16,12.97,5,10,NA,0.5,NA,NA,3,6,"simple",10,6,"Salix_caprea",6,7.5,NA
"430","Malpighiales","Salicaceae","Salix","lasiolepis",4.08,39.66,12.57,3.8,14.1,0.3,1.6,3.5,12.5,0.6,3.2,"simple",21.875,NA,"Salix_lasiolepis",3.2,8.95,8.95
"431","Malpighiales","Violaceae","Hymenanthera","dentata",4.54,29.56,8.34,2.5,4,NA,NA,NA,NA,0.4,0.6,"simple",4.5,0.7,"Hymenanthera_dentata",0.6,3.25,NA
"432","Malpighiales","Violaceae","Rinorea","guatemalensis",7.92,45.93,19.84,7,14.5,0.4,0.9,6.6,13.6,2.5,6,"simple",14.25,5.5,"Rinorea_guatemalensis",6,10.75,10.75
"433","Malvales","Bixaceae","Cochlospermum","regium",8.32,145.66,15.16,NA,NA,NA,NA,NA,NA,NA,NA,"simple",8.0714,9.4738,"Cochlospermum_regium",NA,NA,NA
"434","Malvales","Malvaceae","Brachychiton","acerifolius",9.3,114.61,12.27,12,20,NA,NA,NA,NA,5,18,"simple",22,14,"Brachychiton_acerifolius",18,16,NA
"435","Malvales","Malvaceae","Byttneria","aculeata",5.82,53.94,22.72,7,12.5,NA,NA,NA,NA,3,10,"simple",13.25,8,"Byttneria_aculeata",10,9.75,NA
"436","Malvales","Malvaceae","Ceiba","pentandra",25.5,244.3,71.26,11,40,5,25,NA,NA,NA,NA,"compound",31,NA,"Ceiba_pentandra",NA,25.5,NA
"438","Malvales","Malvaceae","Malacothamnus","fasciculatus",2.7,28.82,15.03,NA,NA,NA,NA,2,8,NA,NA,"simple",8,NA,"Malacothamnus_fasciculatus",NA,NA,NA
"439","Malvales","Malvaceae","Melochia","tomentosa",1.02,32.67,10.64,NA,NA,0.3,2.5,1.5,6,0.8,4,"simple",4.5,2.8,"Melochia_tomentosa",4,NA,5.15
"440","Malvales","Malvaceae","Sida","galheirensis",1.08,29.31,9.71,1.5,4,0.9,1.1,NA,NA,1,3,"simple",3.5,2.5,"Sida_galheirensis",3,2.75,NA
"441","Malvales","Malvaceae","Sphaeralcea","ambigua",1.17,23.88,9.63,NA,NA,NA,NA,1.5,5,NA,NA,"simple",4,NA,"Sphaeralcea_ambigua",NA,NA,NA
"442","Malvales","Muntingiaceae","Muntingia","calabura",9.33,147.28,30.03,4,14,1,4,NA,NA,NA,NA,"simple",11,NA,"Muntingia_calabura",NA,9,NA
"443","Malvales","Thymelaeaceae","Daphne","laureola",0.62,23.28,8.51,3,12,NA,NA,NA,NA,1,3.5,"simple",9,2.75,"Daphne_laureola",3.5,7.5,NA
"444","Malvales","Thymelaeaceae","Ovidia","pillopillo",1.81,23.38,10.31,NA,NA,NA,NA,2,8,1,2,"simple",8,2,"Ovidia_pillopillo",2,NA,NA
"445","Malvales","Thymelaeaceae","Pimelea","linifolia",1.2,23.03,11.38,NA,NA,NA,NA,0.4,2.9,0.1,0.9,"simple",1.85,0.55,"Pimelea_linifolia",0.9,NA,NA
"446","Metteneusiales","Metteneusiaceae","Calatola","costaricensis",17.77,92.2,22.33,NA,NA,1,2,6,15,2,5,"simple",45,4.5,"Calatola_costaricensis",5,NA,12
"447","Myrtales","Combretaceae","Combretum","leprosum",7.03,73.77,13.99,NA,NA,NA,NA,NA,NA,NA,NA,"simple",14.6961,5.8437,"Combretum_leprosum",NA,NA,NA
"448","Myrtales","Melastomataceae","Brachyotum","rotundifolium",2.88,19.29,10.61,NA,NA,NA,NA,NA,NA,NA,NA,"simple",9.02,7.504,"Brachyotum_rotundifolium",NA,NA,NA
"449","Myrtales","Melastomataceae","Miconia","albicans",3.75,61.88,13.72,NA,NA,NA,NA,NA,NA,NA,NA,"simple",6.56284,3.21588,"Miconia_albicans",NA,NA,NA
"450","Myrtales","Melastomataceae","Miconia","cf_dodsonii",0.82,18.78,13.07,NA,NA,NA,NA,NA,NA,NA,NA,"simple",3.9632,2.666,"Miconia_cf_dodsonii",NA,NA,NA
"451","Myrtales","Melastomataceae","Miconia","namandensis",0.89,12.09,12.31,3.7,7.2,0.7,1.2,3,6,1.8,3.3,"simple",6.4624,3.2578,"Miconia_namandensis",3.3,5.45,5.45
"455","Myrtales","Myrtaceae","Angophora","costata",31.3,112.4,26.02,7.9,21.5,0.9,2.5,7,19,1.2,3.5,"simple",66.5,2.95,"Angophora_costata",3.5,14.7,14.7
"456","Myrtales","Myrtaceae","Campomanesia","adamantium",1.68,52.66,12.01,NA,NA,NA,NA,NA,NA,NA,NA,"simple",4.6274,1.8496,"Campomanesia_adamantium",NA,NA,NA
"457","Myrtales","Myrtaceae","Eucalyptus","coccifera",13.67,117.97,25.81,5.8,12.2,0.8,2.2,5,10,1,2,"simple",25,2,"Eucalyptus_coccifera",2,9,9
"458","Myrtales","Myrtaceae","Eucalyptus","pilularis",28.07,143.6,20.69,9,16,NA,NA,NA,NA,1.5,3,"simple",17,3,"Eucalyptus_pilularis",3,12.5,NA
