"","order","family","genus","species","stem.length.m","VD.base.um","VD.tip.um","min.length.leaf","max.length.leaf","min.length.petiole","max.length.petiole","min.length.blade","max.length.blade","leaf.type","long.hoja","long.hoja.mean","long.lam.pet.mean","long.hoja.concenso"
"118","Dilleniales","Dilleniaceae","Davilla","Davilla_elliptica",2.97,87.13,17.33,10.78,12.6,0.81,1.45,9.97,11.15,"simple",NA,11.69,11.69,11.69
"119","Dilleniales","Dilleniaceae","Hibbertia","Hibbertia_bouletii",0.97,41.71,26.25,1.69,3.27,NA,NA,1.69,3.27,"simple",NA,2.48,NA,2.48
"120","Dilleniales","Dilleniaceae","Hibbertia","Hibbertia_lucens",2.98,52.43,16.32,4.47,7.74,NA,NA,4.47,7.74,"simple",NA,6.105,NA,6.105
"121","Dilleniales","Dilleniaceae","Hibbertia","Hibbertia_scandens",1.06,53.97,23.26,NA,NA,NA,NA,6,9,"simple",7.5,NA,NA,7.5
"122","Dilleniales","Dilleniaceae","Hibbertia","Hibbertia_trachyphylla",1.97,69.29,13.31,0.36,1.03,NA,NA,0.36,1.03,"simple",NA,0.695,NA,0.695
"123","Dipsacales","Adoxaceae","Sambucus","Sambucus_canadensis",1.78,37.64,19.6,15.72,19.36,2.78,5.41,10.9,15.08,"compound",NA,17.54,17.085,17.085
"124","Dipsacales","Adoxaceae","Sambucus","Sambucus_nigra",9.75,83.27,33.19,11.06,25.81,1.96,7.17,9.1,20.7,"compound",NA,18.435,19.465,19.465
"125","Dipsacales","Adoxaceae","Viburnum","Viburnum_acerifolium",0.97,28.43,14.35,5,10,1,3,4,7,"simple",NA,7.5,7.5,7.5
"126","Dipsacales","Adoxaceae","Viburnum","Viburnum_caudatum",5.84,51.26,17.67,9,13,0.8,1.2,NA,NA,"simple",NA,11,NA,11
"127","Dipsacales","Adoxaceae","Viburnum","Viburnum_hartwegii",4.03,62.56,14.27,5,10,2,4,NA,NA,"simple",NA,7.5,NA,7.5
"128","Dipsacales","Adoxaceae","Viburnum","Viburnum_jucundum",6.28,58.79,20.2,NA,NA,0.3,1.6,NA,NA,"simple",13,NA,NA,13
"129","Dipsacales","Adoxaceae","Viburnum","Viburnum_lantanoides",2.62,30.47,15.6,10.16,20.32,NA,NA,NA,NA,"simple",NA,15.24,NA,15.24
