order,family,genus,sp,locality,authority,collector,coll,Wood Density g/ml
Malpighiales,Euphorbiaceae,Manihot,dichotoma,,Ule,Olson,4719,0.48
Malpighiales,Euphorbiaceae,Manihot,dichotoma,,Ule,Olson,4720,0.66
Aquifoliales,Aquifoliaceae,Ilex,verticillata,,(L.) A. Gray,Olson,5039,0.52
Aquifoliales,Aquifoliaceae,Ilex,verticillata,,(L.) A. Gray,Olson,5040,0.52
Aquifoliales,Aquifoliaceae,Ilex,verticillata,,(L.) A. Gray,Olson,5041,0.52
Lamiales,Oleaceae,Fraxinus,excelsior,temp,L.,Camarero,FexTemp1,0.52
Lamiales,Oleaceae,Fraxinus,excelsior,temp,L.,Camarero,FexTemp2,0.58
Lamiales,Oleaceae,Fraxinus,excelsior,temp,L.,Camarero,FexTemp3,0.46
Dipsacales,Caprifoliaceae,Symphoricarpos,mollis,,Nutt.,Olson,4381,0.59
Dipsacales,Caprifoliaceae,Symphoricarpos,mollis,,Nutt.,Olson,4382,0.63
Dipsacales,Caprifoliaceae,Symphoricarpos,mollis,,Nutt.,Olson,4383,0.59
Caryophyllales,Polygonaceae,Eriogonum,elongatum,,Benth. ,Olson,4318,0.5
Caryophyllales,Polygonaceae,Eriogonum,elongatum,,Benth. ,Olson,4319,0.56
Caryophyllales,Polygonaceae,Eriogonum,elongatum,,Benth. ,Olson,4320,0.56
Ranunculales,Papaveraceae,Argemone,mexicana,,,Olson,3058,0.05
Gentianales,Apocynaceae,Cerberiopsis,candelabra,,Vieill. ex Pancher & Sebert,Castorena,322,0.55
Gentianales,Apocynaceae,Cerberiopsis,candelabra,,Vieill. ex Pancher & Sebert,Castorena,323,0.53
Gentianales,Apocynaceae,Cerberiopsis,candelabra,,Vieill. ex Pancher & Sebert,Castorena,324,0.47
Ranunculales,Papaveraceae,Argemone,mexicana,,L. ,Olson,3056,0.06
Ranunculales,Papaveraceae,Argemone,mexicana,,L. ,Olson,3057,0.06
Caryophyllales,Cactaceae,Pachycereus,pecten_aboriginum,,(Engelm. ex S. Watson)Britton & Rose,Olson,2955,0.29
Caryophyllales,Cactaceae,Pachycereus,pecten_aboriginum,,(Engelm. ex S. Watson)Britton & Rose,Olson,2956,0.3
Caryophyllales,Cactaceae,Pachycereus,pecten_aboriginum,,(Engelm. ex S. Watson)Britton & Rose,Olson,2980,0.29
Buxales,Buxaceae,Buxus,sempervirens,wild_Spain,L.,Camarero,Bse1,0.8
Buxales,Buxaceae,Buxus,sempervirens,wild_Spain,L.,Camarero,Bse2,0.75
Buxales,Buxaceae,Buxus,sempervirens,wild_Spain,L.,Camarero,Bse3,0.76
Myrtales,Myrtaceae,Melaleuca,pallida,,(Bonpl.) Craven,Rosell,1,0.67
Myrtales,Myrtaceae,Melaleuca,pallida,,(Bonpl.) Craven,Rosell,2,0.63
Myrtales,Myrtaceae,Melaleuca,pallida,,(Bonpl.) Craven,Rosell,3,0.78
Myrtales,Myrtaceae,Melaleuca,pallida,,(Bonpl.) Craven,Rosell,4,0.67
Myrtales,Myrtaceae,Melaleuca,pallida,,(Bonpl.) Craven,Rosell,5,0.71
Malvales,Malvaceae,Malacothamnus,fasciculatus,,(Nutt. ex Torr. & A. Gray) Greene,Olson,4345,0.48
Malvales,Malvaceae,Malacothamnus,fasciculatus,,(Nutt. ex Torr. & A. Gray) Greene,Olson,4346,0.61
Malvales,Malvaceae,Malacothamnus,fasciculatus,,(Nutt. ex Torr. & A. Gray) Greene,Olson,4347,0.5
Lamiales,Bignoniaceae,Tabebuia,ochracea,,A. H. Gentry,Olson,4675,0.58
Lamiales,Bignoniaceae,Tabebuia,ochracea,,A. H. Gentry,Olson,4676,0.71
Lamiales,Bignoniaceae,Tabebuia,ochracea,,A. H. Gentry,Olson,4677A,0.68
Caryophyllales,Polygonaceae,Antigonon,leptopus,,,Olson,3021,0.42
Ericales,Ericaceae,Vaccinium,myrtillus,alp,L.,Camarero,VmyAlp1,0.55
Ericales,Ericaceae,Vaccinium,myrtillus,alp,L.,Camarero,VmyAlp2,0.2
Ericales,Ericaceae,Vaccinium,myrtillus,alp,L.,Camarero,VmyAlp3,0.38
Fagales,Fagaceae,Quercus,pyrenaica,,Willd.,Camarero,Qpy1,0.5
Fagales,Fagaceae,Quercus,pyrenaica,,Willd.,Camarero,Qpy2,0.45
Fagales,Fagaceae,Quercus,pyrenaica,,Willd.,Camarero,Qpy3,0.6
Asterales,Asteraceae,Gynoxys,cuicochensis,,Cuatrec.,Camarero,1.1,0.6
Asterales,Asteraceae,Gynoxys,cuicochensis,,Cuatrec.,Camarero,1.2,0.6
Asterales,Asteraceae,Gynoxys,cuicochensis,,Cuatrec.,Camarero,1.3,0.59
Rosales,Rosaceae,Amelanchier,ovalis,,Medik.,Camarero,Aov1,0.71
Rosales,Rosaceae,Amelanchier,ovalis,,Medik.,Camarero,Aov2,0.69
Rosales,Rosaceae,Amelanchier,ovalis,,Medik.,Camarero,Aov3,0.7
